DiseaseName,AssociatedGenes
Seckel syndrome 4,CENPJ
Seckel syndrome 5,CEP152
Seckel syndrome 6,CEP63
Seckel syndrome 7,NIN
Seckel syndrome 8,DNA2
Seckel syndrome 9,TRAIP
Secondary hypothyroidism,TSHB
Sedoheptulokinase deficiency,SHPK
"Seizures, benign familial infantile, 2",PRRT2
"Seizures, benign familial infantile, 3",SCN2A
"Seizures, benign familial infantile, 5",SCN8A
"Seizures, cortical blindness, and microcephaly syndrome",DIAPH1
"Seizures, early-onset, with neurodegeneration and brain calcifications",NRROS
"Seizures, scoliosis, and macrocephaly syndrome",EXT2
Selective serotonin reuptake inhibitor response,"CYP2C19, CYP2D6"
Selective tooth agenesis 1,MSX1
Sengers syndrome,AGK
Senior-Loken syndrome 1,NPHP1
Senior-Loken syndrome 4,NPHP4
Senior-Loken syndrome 5,IQCB1
Senior-Loken syndrome 6,CEP290
Senior-Loken syndrome 7,SDCCAG8
Senior-Loken syndrome 8,WDR19
Senior-Loken syndrome 9,TRAF3IP1
Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome,"POLG, TWNK"
Septo-optic dysplasia sequence,HESX1
SERKAL syndrome,WNT4
Sertraline response,CYP2C19
Serum level of adiponectin 1,ADIPOQ
Sessile serrated polyposis cancer syndrome,RNF43
Severe achondroplasia with developmental delay and acanthosis nigricans,FGFR3
Severe autosomal recessive muscular dystrophy of childhood - North African type,SGCG
Severe combined immunodeficiency disease,
Severe combined immunodeficiency due to ADA deficiency,ADA
Severe combined immunodeficiency due to CARMIL2 deficiency,CARMIL2
Severe combined immunodeficiency due to CD70 deficiency,CD70
Severe combined immunodeficiency due to DCLRE1C deficiency,DCLRE1C
"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation",NHEJ1
"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive","RAG1, RAG2"
"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-negative",JAK3
"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, NK cell-positive","IL7R, PTPRC"
Severe congenital neutropenia,
"Severe congenital neutropenia 2, autosomal dominant",GFI1
"Severe congenital neutropenia 4, autosomal recessive",G6PC3
"Severe congenital neutropenia 5, autosomal recessive",VPS45
"Severe congenital neutropenia 6, autosomal recessive",JAGN1
Severe myoclonic epilepsy in infancy,SCN1A
Severe neonatal-onset encephalopathy with microcephaly,MECP2
Severe X-linked myotubular myopathy,MTM1
Shaheen syndrome,COG6
Shashi-Pena syndrome,ASXL2
Short-rib thoracic dysplasia 10 with or without polydactyly,IFT172
Short-rib thoracic dysplasia 11 with or without polydactyly,DYNC2I2
Short-rib thoracic dysplasia 13 with or without polydactyly,CEP120
Short-rib thoracic dysplasia 14 with polydactyly,KIAA0586
Short-rib thoracic dysplasia 15 with polydactyly,DYNC2LI1
Short-rib thoracic dysplasia 16 with or without polydactyly,IFT52
Short-rib thoracic dysplasia 17 with or without polydactyly,DYNLT2B
Short-rib thoracic dysplasia 18 with polydactyly,IFT43
Short-rib thoracic dysplasia 19 with or without polydactyly,IFT81
Short-rib thoracic dysplasia 20 with polydactyly,INTU
Short-rib thoracic dysplasia 3 with or without polydactyly,DYNC2H1
Short-rib thoracic dysplasia 7 with or without polydactyly,WDR35
Short-rib thoracic dysplasia 8 with or without polydactyly,DYNC2I1
short QT syndrome,
Short QT syndrome 1,KCNH2
Short QT syndrome 2,KCNQ1
Short QT syndrome 3,KCNJ2
"Short rib-polydactyly syndrome, Majewski type",NEK1
"Short sleep, familial natural, 1",BHLHE41
"SHORT SLEEP, FAMILIAL NATURAL, 2",ADRB1
Short stature-pituitary and cerebellar defects-small sella turcica syndrome,LHX4
Short stature and microcephaly with genital anomalies,CENPT
Short stature due to growth hormone qualitative anomaly,GH1
Short stature due to growth hormone secretagogue receptor deficiency,GHSR
Short stature with microcephaly and distinctive facies,CRIPT
Short stature with nonspecific skeletal abnormalities,NPR2
"Short stature, amelogenesis imperfecta, and skeletal dysplasia with scoliosis",SLC10A7
"Short stature, auditory canal atresia, mandibular hypoplasia, and skeletal abnormalities",GSC
"Short stature, brachydactyly, intellectual developmental disability, and seizures",PRMT7
"Short stature, developmental delay, and congenital heart defects",TKT
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies",BMP2
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 2",SCUBE3
"Short stature, idiopathic, autosomal",GHR
"Short stature, idiopathic, X-linked",SHOX
"Short stature, microcephaly, and endocrine dysfunction",XRCC4
"Short stature, oligodontia, dysmorphic facies, and motor delay",POLR3GL
"Short stature, onychodysplasia, facial dysmorphism, and hypotrichosis",POC1A
"Short stature, optic nerve atrophy, and Pelger-Huet anomaly",NBAS
"Short stature, rhizomelic, with microcephaly, micrognathia, and developmental delay",ARCN1
SHORT syndrome,PIK3R1
Shprintzen-Goldberg syndrome,SKI
Shprintzen syndrome,"DGCR2, DGCR6, DGCR8, ESS2, TBX1"
Shukla-Vernon syndrome,BCORL1
Shwachman-Diamond syndrome 1,"DNAJC21, SBDS, SRP54"
Shwachman-Diamond syndrome 2,EFL1
Shwachman syndrome,"DNAJC21, SBDS, SRP54"
"Sialic acid storage disease, severe infantile type",SLC17A5
Sialidosis,
Sialidosis type 2,NEU1
Sialuria,GNE
"Sick sinus syndrome 1, autosomal recessive",SCN5A
"Sick sinus syndrome 2, autosomal dominant",HCN4
"Sick sinus syndrome 3, susceptibility to",MYH6
Siddiqi syndrome,FITM2
"Sideroblastic anemia 3, pyridoxine-refractory",GLRX5
"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",TRNT1
Sifrim-Hitz-Weiss syndrome,CHD4
Silver-russell syndrome 4,PLAG1
Silver-Russell syndrome 5,HMGA2
Simeprevir response,IFNL3
Simpson-Golabi-Behmel syndrome,
Simpson-Golabi-Behmel syndrome type 1,"GPC3, GPC4"
"Simpson-Golabi-Behmel syndrome, type 2",OFD1
Simvastatin response,SLCO1B1
Singleton-Merten syndrome 1,IFIH1
Singleton-Merten syndrome 2,DDX58
Sinoatrial node dysfunction and deafness,CACNA1D
Sitosterolemia 1,ABCG8
Sitosterolemia 2,ABCG5
Sjögren-Larsson syndrome,ALDH3A2
"Skeletal defects, genital hypoplasia, and mental retardation",ZBTB16
"Skeletal dysplasia, mild, with joint laxity and advanced bone age",CSGALNACT1
SKELETAL MUSCLE GLYCOGEN CONTENT AND METABOLISM QUANTITATIVE TRAIT LOCUS,PRKAG3
"Skin creases, congenital symmetric circumferential, 2",MAPRE2
Skin fragility-woolly hair-palmoplantar keratoderma syndrome,DSP
"Skin/hair/eye pigmentation, variation in, 1","HERC2, OCA2"
"Skin/hair/eye pigmentation, variation in, 10",TPCN2
"Skin/hair/eye pigmentation, variation in, 11",TYRP1
"Skin/hair/eye pigmentation, variation in, 2",MC1R
"Skin/hair/eye pigmentation, variation in, 3",TYR
"Skin/hair/eye pigmentation, variation in, 4",SLC24A5
"Skin/hair/eye pigmentation, variation in, 5",SLC45A2
"Skin/hair/eye pigmentation, variation in, 6",SLC24A4
"Skin/hair/eye pigmentation, variation in, 7",KITLG
"Skin/hair/eye pigmentation, variation in, 8",IRF4
"Skin/hair/eye pigmentation, variation in, 9",ASIP
Skraban-Deardorff syndrome,WDR26
SLC35A2-CDG,SLC35A2
SLC39A8-CDG,SLC39A8
"Sleep-wake schedule disorder, delayed phase type",CRY1
Slow acetylator due to N-acetyltransferase enzyme variant,NAT2
"Slowed nerve conduction velocity, autosomal dominant",ARHGEF10
Small cell lung carcinoma,RB1
Smith-Kingsmore syndrome,MTOR
Smith-Lemli-Opitz syndrome,DHCR7
Smith-Magenis syndrome,RAI1
Smith-McCort dysplasia 1,DYM
Smith-McCort dysplasia 2,RAB33B
Smoking as a quantitative trait locus 3,"CHRNA3, CHRNA5"
Sneddon syndrome,ADA2
Snijders blok-campeau syndrome,CHD3
Snijders blok-fisher syndrome,POU3F3
Snowflake vitreoretinal degeneration,KCNJ13
Sodium serum level quantitative trait locus 1,TRPV4
Sofosbuvir response,IFNL4
Solitary median maxillary central incisor syndrome,SHH
"Soluble interleukin-6 receptor, serum level of, quantitative trait locus",IL6R
Somatotroph adenoma,AIP
Sorbitol dehydrogenase deficiency with peripheral neuropathy,SORD
Sorsby fundus dystrophy,TIMP3
Sotos syndrome 1,NSD1
Sotos syndrome 2,NFIX
Sotos syndrome 3,APC2
"Spastic ataxia 5, autosomal recessive",AFG3L2
"Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy",NKX6-2
"Spastic ataxia 9, autosomal recessive",CHP1
"Spastic paraplegia 11, autosomal recessive",SPG11
Spastic paraplegia 17,BSCL2
"Spastic paraplegia 28, autosomal recessive",DDHD1
"Spastic paraplegia 30, autosomal recessive",KIF1A
"Spastic paraplegia 31, autosomal dominant",REEP1
"Spastic paraplegia 33, autosomal dominant",ZFYVE27
Spastic paraplegia 35,FA2H
"Spastic paraplegia 4, autosomal dominant",SPAST
"Spastic paraplegia 42, autosomal dominant",SLC33A1
"Spastic paraplegia 43, autosomal recessive",C19orf12
"Spastic paraplegia 44, autosomal recessive",GJC2
"Spastic paraplegia 45, autosomal recessive",NT5C2
"Spastic paraplegia 46, autosomal recessive",GBA2
"Spastic paraplegia 47, autosomal recessive",AP4B1
"Spastic paraplegia 48, autosomal recessive",AP5Z1
"Spastic paraplegia 49, autosomal recessive",TECPR2
"Spastic paraplegia 50, autosomal recessive",AP4M1
"Spastic paraplegia 51, autosomal recessive",AP4E1
"Spastic paraplegia 52, autosomal recessive",AP4S1
"Spastic paraplegia 53, autosomal recessive",VPS37A
"Spastic paraplegia 54, autosomal recessive",DDHD2
"Spastic paraplegia 55, autosomal recessive",MTRFR
"Spastic paraplegia 56, autosomal recessive",CYP2U1
"Spastic paraplegia 57, autosomal recessive",TFG
"Spastic paraplegia 61, autosomal recessive",ARL6IP1
"Spastic paraplegia 62, autosomal recessive",ERLIN1
"Spastic paraplegia 63, autosomal recessive",AMPD2
"Spastic paraplegia 64, autosomal recessive",ENTPD1
"Spastic paraplegia 72, autosomal recessive",REEP2
"Spastic paraplegia 73, autosomal dominant",CPT1C
"Spastic paraplegia 74, autosomal recessive",IBA57
"Spastic paraplegia 75, autosomal recessive",MAG
"Spastic paraplegia 76, autosomal recessive",CAPN1
"Spastic paraplegia 77, autosomal recessive",FARS2
"Spastic paraplegia 78, autosomal recessive",ATP13A2
"Spastic paraplegia 79, autosomal recessive",UCHL1
"Spastic paraplegia 80, autosomal dominant",UBAP1
"Spastic paraplegia 81, autosomal recessive",SELENOI
"Spastic paraplegia 82, autosomal recessive",PCYT2
"Spastic paraplegia 83, autosomal recessive",HPDL
"Spastic paraplegia 9b, autosomal recessive",ALDH18A1
Spastic paraplegia and psychomotor retardation with or without seizures,HACE1
"Spastic paraplegia, intellectual disability, nystagmus, and obesity",KIDINS220
"Spastic paraplegia, optic atrophy, and neuropathy",KLC2
"Spastic tetraplegia and axial hypotonia, progressive",SOD1
"Spastic tetraplegia, thin corpus callosum, and progressive microcephaly",SLC1A4
"Spasticity, childhood-onset, with hyperglycinemia",GLRX5
Specific granule deficiency 1,CEBPE
Specific granule deficiency 2,SMARCD2
Specific language impairment 5,TM4SF20
Speech-language disorder 1,FOXP2
Spermatogenic failure 10,SEPTIN12
Spermatogenic failure 11,KLHL10
Spermatogenic failure 12,NANOS1
Spermatogenic failure 13,TAF4B
Spermatogenic failure 14,ZMYND15
Spermatogenic failure 15,SYCE1
Spermatogenic failure 16,SUN5
Spermatogenic failure 17,PLCZ1
Spermatogenic failure 18,DNAH1
Spermatogenic failure 19,CFAP43
Spermatogenic failure 20,CFAP44
Spermatogenic failure 21,BRDT
Spermatogenic failure 22,MEIOB
Spermatogenic failure 23,TEX14
Spermatogenic failure 24,CFAP69
Spermatogenic failure 25,TEX15
Spermatogenic failure 26,TSGA10
Spermatogenic failure 27,AK7
Spermatogenic failure 28,FANCM
Spermatogenic failure 29,SPINK2
Spermatogenic failure 3,SLC26A8
Spermatogenic failure 30,TDRD9
Spermatogenic failure 31,PMFBP1
Spermatogenic failure 32,SOHLH1
Spermatogenic failure 33,CFAP251
Spermatogenic failure 34,FSIP2
Spermatogenic failure 35,QRICH2
Spermatogenic failure 36,PPP2R3C
Spermatogenic failure 37,TTC21A
Spermatogenic failure 38,ARMC2
SPERMATOGENIC FAILURE 39,DNAH17
Spermatogenic failure 4,SYCP3
Spermatogenic failure 40,CFAP65
Spermatogenic failure 41,CFAP70
Spermatogenic failure 42,TTC29
Spermatogenic failure 43,SPEF2
Spermatogenic failure 44,CEP112
Spermatogenic failure 45,DNAH2
Spermatogenic failure 46,DNAH8
Spermatogenic failure 47,DZIP1
Spermatogenic failure 48,M1AP
Spermatogenic failure 49,CFAP58
Spermatogenic failure 51,CFAP91
Spermatogenic failure 52,C14orf39
Spermatogenic failure 53,ACTL9
SPERMATOGENIC FAILURE 54,CATIP
SPERMATOGENIC FAILURE 55,SPAG17
Spermatogenic failure 7,"CATSPER1, CATSPER2, STRC"
Spermatogenic failure 8,NR5A1
Spermatogenic failure 9,DPY19L2
"Spermatogenic failure, X-linked, 2",TEX11
"Spermatogenic failure, X-linked, 3",CFAP47
"Spermatogenic failure, Y-linked 2","BPY2, CDY1, CDY2A, DAZ1, DAZ2, DAZ3, DDX3Y, HSFY1, KDM5D, PRY, PRY2, RBMY1A1, RPS4Y2, USP9Y, VCY, XKRY"
Spermatogenic failures 50,XRCC2
Spherocytosis type 1,ANK1
Spherocytosis type 2,SPTB
Spherocytosis type 3,SPTA1
Spherocytosis type 4,SLC4A1
Spherocytosis type 5,EPB42
Spheroid body myopathy,MYOT
Sphingolipid activator protein 1 deficiency,PSAP
Sphingomyelin/cholesterol lipidosis,
Spinal muscular atrophy,"GEMIN2, SMN1, SMNDC1, "
Spinal muscular atrophy-progressive myoclonic epilepsy syndrome,ASAH1
Spinal muscular atrophy with congenital bone fractures 1,TRIP4
Spinal muscular atrophy with congenital bone fractures 2,ASCC1
"Spinal muscular atrophy, distal, autosomal recessive, 1",IGHMBP2
"Spinal muscular atrophy, distal, autosomal recessive, 5",DNAJB2
"Spinal muscular atrophy, infantile, James type",GARS1
"Spinal muscular atrophy, jokela type",CHCHD10
"Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant",BICD2
"Spinal muscular atrophy, lower extremity-predominant, 2b, prenatal onset, autosomal dominant",BICD2
"Spinal muscular atrophy, lower extremity predominant 1, autosomal dominant",DYNC1H1
"Spinal muscular atrophy, type II",SMN1
"Spinal muscular atrophy, type IV",SMN1
"Spinal muscular atrophy, X-linked 2",UBA1
Spinocerebellar ataxia 35,TGM6
Spinocerebellar ataxia 36,NOP56
Spinocerebellar ataxia 37,DAB1
Spinocerebellar ataxia 38,ELOVL5
Spinocerebellar ataxia 40,CCDC88C
Spinocerebellar ataxia 41,TRPC3
Spinocerebellar ataxia 42,CACNA1G
"Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits",CACNA1G
Spinocerebellar ataxia 43,MME
Spinocerebellar ataxia 44,GRM1
Spinocerebellar ataxia 45,FAT2
Spinocerebellar ataxia 46,PLD3
Spinocerebellar ataxia 47,PUM1
Spinocerebellar ataxia 48,STUB1
Spinocerebellar ataxia 7,ATXN7
Spinocerebellar ataxia type 1,ATXN1
Spinocerebellar ataxia type 10,ATXN10
Spinocerebellar ataxia type 11,TTBK2
Spinocerebellar ataxia type 12,PPP2R2B
Spinocerebellar ataxia type 13,KCNC3
Spinocerebellar ataxia type 14,PRKCG
Spinocerebellar Ataxia Type 15,ITPR1
Spinocerebellar ataxia type 17,TBP
Spinocerebellar ataxia type 19/22,KCND3
Spinocerebellar ataxia type 2,ATXN2
Spinocerebellar ataxia type 21,TMEM240
Spinocerebellar ataxia type 23,PDYN
Spinocerebellar ataxia type 26,EEF2
Spinocerebellar ataxia type 27,FGF14
Spinocerebellar ataxia type 28,AFG3L2
Spinocerebellar ataxia type 29,ITPR1
Spinocerebellar ataxia type 31,BEAN1
Spinocerebellar ataxia type 34,ELOVL4
Spinocerebellar ataxia type 5,SPTBN2
Spinocerebellar ataxia type 6,CACNA1A
Spinocerebellar ataxia type 8,"ATXN8, ATXN8OS"
"Spinocerebellar ataxia, autosomal recessive 10",ANO10
"Spinocerebellar ataxia, autosomal recessive 11",SYT14
"Spinocerebellar ataxia, autosomal recessive 12",WWOX
"Spinocerebellar ataxia, autosomal recessive 13",GRM1
"Spinocerebellar ataxia, autosomal recessive 14",SPTBN2
"Spinocerebellar ataxia, autosomal recessive 15",RUBCN
"Spinocerebellar ataxia, autosomal recessive 16",STUB1
"Spinocerebellar ataxia, autosomal recessive 17",CWF19L1
"Spinocerebellar ataxia, autosomal recessive 18",GRID2
"Spinocerebellar ataxia, autosomal recessive 2",PMPCA
"Spinocerebellar ataxia, autosomal recessive 20",SNX14
"Spinocerebellar ataxia, autosomal recessive 21",SCYL1
"Spinocerebellar ataxia, autosomal recessive 22",VWA3B
"Spinocerebellar ataxia, autosomal recessive 23",TDP2
"Spinocerebellar ataxia, autosomal recessive 24",UBA5
"Spinocerebellar ataxia, autosomal recessive 25",ATG5
"Spinocerebellar ataxia, autosomal recessive 26",XRCC1
"Spinocerebellar ataxia, autosomal recessive 27",GDAP2
"Spinocerebellar ataxia, autosomal recessive 28",THG1L
"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 29",VPS41
"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 30",PITRM1
"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 31",ATG7
"Spinocerebellar ataxia, autosomal recessive 8",SYNE1
"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1",TDP1
"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2",SETX
"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3",COA7
"Spinocerebellar ataxia, X-linked 1",ATP2B3
"Splenomegaly, cytopenia, and vision loss",ALPK1
Split-foot malformation with mesoaxial polydactyly,MAP3K20
Split-hand/foot malformation 1,DLX5
Split-hand/foot malformation 1 with sensorineural hearing loss,DLX5
Split-hand/foot malformation 4,TP63
Split-hand/foot malformation 6,WNT10B
Sponastrime dysplasia,TONSL
Spondylo-megaepiphyseal-metaphyseal dysplasia,NKX3-2
"Spondyloarthropathy, susceptibility to, 1",HLA-B
Spondylocarpotarsal synostosis syndrome,FLNB
"Spondylocheirodysplasia, Ehlers-Danlos syndrome-like",SLC39A13
"Spondylocostal dysostosis 1, autosomal recessive","DLL3, MESP2"
"Spondylocostal dysostosis 2, autosomal recessive",MESP2
"Spondylocostal dysostosis 3, autosomal recessive",LFNG
"Spondylocostal dysostosis 4, autosomal recessive",HES7
Spondylocostal dysostosis 5,TBX6
"Spondylocostal dysostosis 6, autosomal recessive",RIPPLY2
Spondyloenchondrodysplasia with immune dysregulation,ACP5
Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome,DDR2
Spondyloepimetaphyseal dysplasia Matrilin-3 related,MATN3
"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures",B3GALT6
"Spondyloepimetaphyseal dysplasia with joint laxity, type 2",KIF22
"Spondyloepimetaphyseal dysplasia with joint laxity, type 3",EXOC6B
"Spondyloepimetaphyseal dysplasia, aggrecan type",ACAN
"Spondyloepimetaphyseal dysplasia, di rocco type",UFSP2
"Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type",RSPRY1
"Spondyloepimetaphyseal dysplasia, Genevieve type",NANS
"Spondyloepimetaphyseal dysplasia, Isidor-Toutain type",RPL13
"Spondyloepimetaphyseal dysplasia, Krakow type",SIK3
"Spondyloepimetaphyseal dysplasia, Missouri type",MMP13
"Spondyloepimetaphyseal dysplasia, pakistani type",PAPSS2
"Spondyloepimetaphyseal dysplasia, Shohat type",DDRGK1
"Spondyloepimetaphyseal dysplasia, Strudwick type",COL2A1
"Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy",AIFM1
Spondyloepiphyseal dysplasia congenita,COL2A1
Spondyloepiphyseal dysplasia Maroteaux type,TRPV4
Spondyloepiphyseal dysplasia tarda,TRAPPC2
Spondyloepiphyseal dysplasia with congenital joint dislocations,CHST3
"Spondyloepiphyseal dysplasia, kimberley type",ACAN
"Spondyloepiphyseal dysplasia, kondo-fu type",MBTPS1
"Spondyloepiphyseal dysplasia, nishimura type",MIR140
"Spondyloepiphyseal dysplasia, sensorineural hearing loss, impaired intellectual development, and leber congenital amaurosis",NMNAT1
"Spondyloepiphyseal dysplasia, stanescu type",COL2A1
Spondylometaphyseal dysplasia,
Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome,PCYT1A
Spondylometaphyseal dysplasia - Sutcliffe type,"COL2A1, FN1"
Spondylometaphyseal dysplasia with corneal dystrophy,PLCB3
"Spondylometaphyseal dysplasia, Kozlowski type",TRPV4
"Spondylometaphyseal dysplasia, megarbane-dagher-melki type",PAM16
"Spondylometaphyseal dysplasia, Sedaghatian type",GPX4
"Spondyloocular syndrome, autosomal recessive",XYLT2
Spondyloperipheral dysplasia-short ulna syndrome,COL2A1
Spongiform encephalopathy with neuropsychiatric features,PRNP
Spongy degeneration of central nervous system,ASPA
Squalene synthase deficiency,FDFT1
Squamous cell carcinoma of the head and neck,"ING1, TNFRSF10B"
Stankiewicz-Isidor syndrome,PSMD12
Stapes ankylosis with broad thumb and toes,NOG
